         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion        mstn        mstp

    0   0.000000E+00   0.000000E+00   9.925E+14   1.455E+35   5.448E-01      1.031E+00   8.796E-01   1.211E+00   2.430E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.901E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.617020E-01   3.717762E-01
    1   2.197298E+03   2.194235E-02   9.656E+14   1.342E+35   5.319E-01      1.018E+00   8.648E-01   1.194E+00   2.413E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.846E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.670720E-01   3.755524E-01
    2   2.768422E+03   4.376759E-02   9.496E+14   1.277E+35   5.243E-01      1.010E+00   8.559E-01   1.184E+00   2.402E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.807E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.703570E-01   3.778872E-01
    3   3.169052E+03   6.513267E-02   9.362E+14   1.224E+35   5.178E-01      1.004E+00   8.482E-01   1.175E+00   2.393E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.771E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.731639E-01   3.798922E-01
    4   3.487993E+03   8.598774E-02   9.242E+14   1.178E+35   5.120E-01      9.982E-01   8.413E-01   1.167E+00   2.385E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.735E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.757086E-01   3.817198E-01
    5   3.757327E+03   1.064078E-01   9.133E+14   1.136E+35   5.067E-01      9.928E-01   8.349E-01   1.160E+00   2.378E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.699E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.780887E-01   3.834385E-01
    6   3.992755E+03   1.270409E-01   9.029E+14   1.098E+35   5.016E-01      9.876E-01   8.287E-01   1.153E+00   2.370E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.663E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.803807E-01   3.850989E-01
    7   4.203280E+03   1.475131E-01   8.930E+14   1.062E+35   4.967E-01      9.826E-01   8.227E-01   1.146E+00   2.363E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.627E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.825934E-01   3.867132E-01
    8   4.394596E+03   1.661174E-01   8.840E+14   1.030E+35   4.923E-01      9.780E-01   8.173E-01   1.140E+00   2.357E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.592E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    5.846289E-01   3.882033E-01
