         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   7.353E+14   9.037E+34   4.096E-01      9.709E-01   8.099E-01   1.131E+00   2.202E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.235E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    1   2.383498E+03   2.089112E-02   7.144E+14   8.357E+34   3.992E-01      9.546E-01   7.903E-01   1.109E+00   2.187E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.497E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    2   3.003019E+03   4.127574E-02   7.022E+14   7.972E+34   3.932E-01      9.451E-01   7.788E-01   1.096E+00   2.178E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.655E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    3   3.437599E+03   6.119865E-02   6.920E+14   7.657E+34   3.881E-01      9.371E-01   7.691E-01   1.085E+00   2.170E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.790E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    4   3.783567E+03   8.083705E-02   6.829E+14   7.382E+34   3.835E-01      9.300E-01   7.604E-01   1.075E+00   2.162E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.913E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    5   4.075724E+03   1.008620E-01   6.744E+14   7.131E+34   3.793E-01      9.234E-01   7.523E-01   1.066E+00   2.156E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.029E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    6   4.331103E+03   1.196379E-01   6.667E+14   6.905E+34   3.754E-01      9.173E-01   7.448E-01   1.058E+00   2.149E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.137E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    7   4.559468E+03   1.386843E-01   6.593E+14   6.693E+34   3.717E-01      9.115E-01   7.377E-01   1.050E+00   2.143E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.241E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    8   4.766996E+03   1.581371E-01   6.521E+14   6.492E+34   3.680E-01      9.059E-01   7.307E-01   1.043E+00   2.137E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.344E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    9   4.957876E+03   1.760294E-01   6.456E+14   6.306E+34   3.647E-01      9.007E-01   7.243E-01   1.036E+00   2.132E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.439E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   10   5.135090E+03   1.937797E-01   6.392E+14   6.131E+34   3.615E-01      8.957E-01   7.181E-01   1.029E+00   2.126E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.532E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   11   5.300852E+03   2.131978E-01   6.327E+14   5.958E+34   3.581E-01      8.906E-01   7.117E-01   1.022E+00   2.121E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.628E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   12   5.456848E+03   2.314720E-01   6.266E+14   5.795E+34   3.550E-01      8.858E-01   7.056E-01   1.015E+00   2.115E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.720E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   13   5.604401E+03   2.487571E-01   6.208E+14   5.641E+34   3.520E-01      8.812E-01   6.999E-01   1.009E+00   2.110E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.807E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   14   5.744569E+03   2.651771E-01   6.153E+14   5.495E+34   3.492E-01      8.769E-01   6.944E-01   1.003E+00   2.105E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.890E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   15   5.878211E+03   2.833438E-01   6.095E+14   5.350E+34   3.462E-01      8.724E-01   6.887E-01   9.968E-01   2.100E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.978E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   16   6.006039E+03   3.016021E-01   6.039E+14   5.210E+34   3.433E-01      8.679E-01   6.830E-01   9.907E-01   2.095E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.065E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   17   6.128644E+03   3.191147E-01   5.984E+14   5.075E+34   3.404E-01      8.636E-01   6.776E-01   9.848E-01   2.090E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.149E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   18   6.246532E+03   3.359533E-01   5.932E+14   4.946E+34   3.377E-01      8.594E-01   6.722E-01   9.791E-01   2.085E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.231E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   19   6.360130E+03   3.521792E-01   5.881E+14   4.821E+34   3.351E-01      8.555E-01   6.672E-01   9.737E-01   2.080E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.309E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   20   6.469809E+03   3.678453E-01   5.833E+14   4.701E+34   3.325E-01      8.516E-01   6.622E-01   9.684E-01   2.075E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.385E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   21   6.575890E+03   3.845178E-01   5.782E+14   4.583E+34   3.299E-01      8.476E-01   6.571E-01   9.629E-01   2.070E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.464E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   22   6.678655E+03   4.018936E-01   5.731E+14   4.467E+34   3.272E-01      8.436E-01   6.519E-01   9.573E-01   2.065E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.545E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   23   6.778351E+03   4.187504E-01   5.681E+14   4.355E+34   3.246E-01      8.396E-01   6.467E-01   9.518E-01   2.060E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.624E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   24   6.875198E+03   4.351255E-01   5.632E+14   4.247E+34   3.220E-01      8.358E-01   6.418E-01   9.466E-01   2.056E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.700E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   25   6.969390E+03   4.510518E-01   5.585E+14   4.141E+34   3.195E-01      8.321E-01   6.369E-01   9.414E-01   2.051E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.774E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   26   7.061104E+03   4.665589E-01   5.539E+14   4.038E+34   3.171E-01      8.285E-01   6.322E-01   9.365E-01   2.046E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.846E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   27   7.150494E+03   4.816733E-01   5.495E+14   3.937E+34   3.147E-01      8.249E-01   6.275E-01   9.316E-01   2.042E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.917E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   28   7.237704E+03   4.964190E-01   5.451E+14   3.839E+34   3.124E-01      8.215E-01   6.230E-01   9.268E-01   2.037E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.986E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   29   7.322861E+03   5.118630E-01   5.406E+14   3.744E+34   3.100E-01      8.179E-01   6.183E-01   9.219E-01   2.032E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.057E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   30   7.406083E+03   5.279581E-01   5.359E+14   3.651E+34   3.075E-01      8.142E-01   6.133E-01   9.167E-01   2.027E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.130E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   31   7.487475E+03   5.436993E-01   5.313E+14   3.561E+34   3.051E-01      8.106E-01   6.086E-01   9.118E-01   2.023E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.202E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   32   7.567134E+03   5.591055E-01   5.268E+14   3.472E+34   3.027E-01      8.070E-01   6.038E-01   9.069E-01   2.018E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.272E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   33   7.645152E+03   5.741940E-01   5.224E+14   3.385E+34   3.003E-01      8.036E-01   5.992E-01   9.020E-01   2.013E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.340E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   34   7.721608E+03   5.889807E-01   5.181E+14   3.300E+34   2.980E-01      8.002E-01   5.946E-01   8.973E-01   2.008E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.406E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   35   7.796580E+03   6.034802E-01   5.139E+14   3.216E+34   2.957E-01      7.968E-01   5.901E-01   8.927E-01   2.004E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.471E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   36   7.870137E+03   6.177061E-01   5.097E+14   3.134E+34   2.935E-01      7.936E-01   5.857E-01   8.882E-01   1.999E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.533E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   37   7.942344E+03   6.316710E-01   5.057E+14   3.054E+34   2.913E-01      7.903E-01   5.813E-01   8.837E-01   1.995E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.595E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   38   8.013261E+03   6.453864E-01   5.017E+14   2.975E+34   2.891E-01      7.872E-01   5.770E-01   8.793E-01   1.990E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.655E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   39   8.082945E+03   6.596999E-01   4.975E+14   2.899E+34   2.869E-01      7.839E-01   5.725E-01   8.747E-01   1.985E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.717E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   40   8.151448E+03   6.742857E-01   4.931E+14   2.825E+34   2.845E-01      7.804E-01   5.678E-01   8.699E-01   1.980E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.781E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   41   8.218819E+03   6.886306E-01   4.888E+14   2.753E+34   2.822E-01      7.771E-01   5.631E-01   8.653E-01   1.975E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.843E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   42   8.285102E+03   7.027439E-01   4.846E+14   2.682E+34   2.799E-01      7.737E-01   5.585E-01   8.606E-01   1.970E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.904E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   43   8.350342E+03   7.166350E-01   4.805E+14   2.612E+34   2.777E-01      7.705E-01   5.540E-01   8.561E-01   1.966E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.962E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   44   8.414578E+03   7.303124E-01   4.764E+14   2.544E+34   2.754E-01      7.672E-01   5.495E-01   8.516E-01   1.961E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.019E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   45   8.477848E+03   7.437840E-01   4.724E+14   2.476E+34   2.732E-01      7.641E-01   5.451E-01   8.472E-01   1.956E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.074E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   46   8.540187E+03   7.570576E-01   4.684E+14   2.409E+34   2.711E-01      7.609E-01   5.407E-01   8.428E-01   1.951E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.127E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   47   8.601630E+03   7.701401E-01   4.645E+14   2.343E+34   2.689E-01      7.578E-01   5.363E-01   8.385E-01   1.946E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.179E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   48   8.662207E+03   7.830383E-01   4.607E+14   2.279E+34   2.668E-01      7.548E-01   5.320E-01   8.343E-01   1.942E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.229E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   49   8.721948E+03   7.957586E-01   4.569E+14   2.215E+34   2.647E-01      7.518E-01   5.277E-01   8.300E-01   1.937E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.277E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   50   8.780881E+03   8.084649E-01   4.531E+14   2.152E+34   2.626E-01      7.488E-01   5.234E-01   8.258E-01   1.932E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.325E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   51   8.839035E+03   8.215543E-01   4.489E+14   2.095E+34   2.603E-01      7.454E-01   5.186E-01   8.211E-01   1.927E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.376E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   52   8.896433E+03   8.344735E-01   4.447E+14   2.038E+34   2.580E-01      7.422E-01   5.139E-01   8.166E-01   1.922E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.425E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   53   8.953099E+03   8.472282E-01   4.407E+14   1.981E+34   2.558E-01      7.389E-01   5.092E-01   8.120E-01   1.916E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.472E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   54   9.009058E+03   8.598236E-01   4.366E+14   1.925E+34   2.536E-01      7.357E-01   5.045E-01   8.076E-01   1.911E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.517E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   55   9.064329E+03   8.722643E-01   4.327E+14   1.871E+34   2.514E-01      7.325E-01   4.999E-01   8.031E-01   1.906E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.560E+08   4.610E+06   1.000E+00   00000  3p2   N/A    N/A    N/A 
   56   9.118935E+03   8.845552E-01   4.287E+14   1.816E+34   2.492E-01      7.294E-01   4.953E-01   7.987E-01   1.901E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.601E+08   4.691E+07   1.000E+00   00000  3p2   N/A    N/A    N/A 
